role,skills
3D animator,"maintain an artistic portfolio, rig 3D characters, create animated narratives, animate 3D organic forms, draw design sketches, select illustration styles, discuss artwork, create storyboards, augmented reality, apply 3D imaging techniques, use scripting programming, holography, principles of animation, manage schedule of tasks, receive appropriate permissions for use of recorded audiovisual examples, particle animation, develop creative ideas, 3D texturing, computer graphics, create 3D environments, 3D lighting, operate 3D computer graphics software, render 3D images, create 3D characters"
3D modeller,"maintain an artistic portfolio, Visual Basic, ML (computer programming), animate 3D organic forms, draw design sketches, VBScript, OpenEdge Advanced Business Language, Perl, Scratch (computer programming), create 2D painting, select illustration styles, Erlang, computer programming, lean project management, build business relationships, discuss artwork, software interaction design, CoffeeScript, ABAP, Assembly (computer programming), TypeScript, Lisp, ASP.NET, APL, Process-based management, SAS language, Java (computer programming), augmented reality, Smalltalk (computer programming), Prolog (computer programming), Pascal (computer programming), PHP, apply 3D imaging techniques, C++, Scala, use polygonal modelling, perform ICT troubleshooting, Objective-C, apply social media marketing, SAP R3, Haskell, Common Lisp, holography, principles of animation, 3D printing process, C#, AJAX, create 3D texture map, Python (computer programming), MATLAB, Groovy, Ruby (computer programming), COBOL, apply technical communication skills, develop creative ideas, 3D texturing, computer graphics, emergent technologies, create 3D environments, Microsoft Visual C++, 3D lighting, R, geographic information systems, perform data mining, ICT project management methodologies, operate 3D computer graphics software, Swift (computer programming), JavaScript, render 3D images, migrate existing data, create 3D characters, Agile project management"
3D printing technician,"create technical plans, printing materials, design drawings, printing techniques, printing on large scale machines, monitor manufacturing quality standards, digitization, use CAD software, calculate materials to build equipment, industrial engineering, maintenance of printing machines, CAD software, manual draughting techniques, use manual draughting techniques, mechanics, maintenance operations, manufacturing processes, ICT software specifications, blueprints, use technical drawing software, create solutions to problems, adjust engineering designs, draft design specifications, 3D modelling, clean equipment, 3D printing process, prosthetic devices, design prototypes, advise client on technical possibilities, mathematics, identify customer's needs, design principles, technical drawings, operate 3D computer graphics software, CADD software, operate printing machinery, determine suitability of materials, product comprehension"
ATM repair technician,"provide customer follow-up services, security threats, disassemble machines, apply company policies, install software, perform services in a flexible manner, mechanical tools, make independent operating decisions, information confidentiality, issue sales invoices, drive vehicles, troubleshoot, work ergonomically, communicate by telephone, secure working area, communicate with customers, report to the team leader, ATM systems, perform maintenance on installed equipment, lift heavy weights, identify security threats, order supplies, create solutions to problems, maintain customer service, replace defect components, clean equipment, maintain records of maintenance interventions, perform test run, manage schedule of tasks, assemble machines, administer appointments, apply technical communication skills, work in shifts, electronics, provide customer information related to repairs, repair equipment on site, use repair manuals"
EU funds manager,"indicators used in EU funds programme operations, state aid regulations, liaise with local authorities, cost management, national generally accepted accounting principles, decide on providing funds, manage government-funded programmes, analyse economic trends, government policy, advise on eligibility of expenditures, audit techniques, develop strategy to solve problems, urban planning law, follow up the issued grants, use communication techniques, macro-regional strategy, liaise with politicians, manage project information, manage relationships with stakeholders, implement strategic planning, manage budgets, inform on government funding, carry out strategic research, manage government policy implementation, develop interregional collaboration strategies, maintain relationships with government agencies, project management principles, internal auditing, procurement legislation, analyse community needs, prepare audit activities, socio-economic trends in your sector, complete administration, comply with legal regulations, manage grant applications, microfinance, manage contracts, EU law, community-led local development, manage project changes, leadership principles, instruct grant recipient, European Structural and Investment Funds regulations, urban planning, perform resource planning, give out grants, government policy implementation, monitor policy proposals, liaise with government officials, perform political negotiation, risk management, inspect government policy compliance, audit contractors, assess administrative burden, fraud detection"
Freinet school teacher,"apply teaching strategies, common children's diseases, Freinet teaching principles, instructional strategies, attend to children's basic physical needs, social development, provide after school care, keep records of attendance, teach kindergarten class content, promote the safeguarding of young people, work with virtual learning environments, assess students, maintain students' discipline, apply Freinet teaching strategies, prepare lesson content, perform classroom management, pedagogy, first aid, apply intercultural teaching strategies, liaise with educational support staff, demonstrate when teaching, manage student relationships, encourage students to acknowledge their achievements, learning difficulties, adapt teaching to student's capabilities, monitor children's physical development, assist students in their learning, curriculum objectives, maintain relations with children's parents, support the positiveness of youths, manage resources for educational purposes, assessment processes, assess the development of youth, guarantee students' safety, support children's wellbeing, developmental psychology, use pedagogic strategies for creativity, implement care programmes for children, perform playground surveillance, workplace sanitation, handle children's problems, provide lesson materials, facilitate teamwork between students, prepare youths for adulthood, assist children in developing personal skills, assist students with equipment, organise creative performance, teamwork principles, write work-related reports, give constructive feedback, disability types"
ICT accessibility tester,"LDAP, MDX, query languages, test for emotional patterns, use experience map, assess users' interaction with ICT applications, World Wide Web Consortium standards, screen reader, test system accessibility for users with special needs, human-computer interaction, SPARQL, use markup languages, behavioural science, lean project management, test for behavioural patterns, LINQ, cognitive psychology, debug software, use an application-specific interface, conduct research interview, Process-based management, replicate customer software issues, PHP, ICT accessibility standards, design user interface, ICT debugging tools, report test findings, execute software tests, use scripting programming, XQuery, tools for ICT test automation, manage schedule of tasks, AJAX, resource description framework query language, develop ICT test suite, execute ICT user research activities, measure software usability, develop automated software tests, give live presentation, address problems critically, N1QL, web programming, application usability, ICT project management methodologies, conduct ICT code review, JavaScript, levels of software testing, provide software testing documentation, Agile project management"
ICT account manager,"deliver a sales pitch, sales strategies, keep records on sales, apply company policies, implement marketing strategies, maintain customer records, guarantee customer satisfaction, Open source model, maintain relationship with customers, sales argumentation, adhere to organisational guidelines, build business relationships, implement customer follow-up, channel marketing, implement sales strategies, identify ICT user needs, use customer relationship management software, perform data analysis, produce sales reports, implement strategic planning, study sales levels of products, maximise sales revenues, accounting techniques, Outsourcing model, develop account strategy, manage contracts, perform customers’ needs analysis, coordinate technological activities, ensure compliance with legal requirements, forecast account metrics, achieve sales targets, perform market research, perform data mining, set sales goals, identify new business opportunities, product comprehension, hybrid model"
ICT application configurator,"ML (computer programming), use concurrent programming, provide ICT consulting advice, Apache Maven, build business relationships, STAF, Assembly (computer programming), TypeScript, ASP.NET, Eclipse (integrated development environment software), SAS language, Salt (tools for software configuration management), analyse software specifications, C#, consultation methods, Groovy, Ruby (computer programming), implement ICT security policies, use object-oriented programming, migrate existing data, manage cloud data and storage, Visual Basic, Perl, do cloud refactoring, debug software, apply statistical analysis techniques, Prolog (computer programming), integrate ICT data, Scala, integrated development environment software, develop automated migration methods, Objective-C, create solutions to problems, Haskell, legal requirements of ICT products, Python (computer programming), MATLAB, use software libraries, Microsoft Visual C++, create flowchart diagram, digital systems, Ansible, inter-organisational middleware system, Scratch (computer programming), computer programming, ABAP, use an application-specific interface, use back-up and recovery tools, APL, PHP, Xcode, ICT debugging tools, SAP R3, Common Lisp, use software design patterns, use functional programming, integrate system components, KDevelop, tools for software configuration management, statistics, R, Pascal (computer programming), C++, use logic programming, Puppet (tools for software configuration management), VBScript, develop software prototype, OpenEdge Advanced Business Language, Lisp, Java (computer programming), interfacing techniques, collect customer feedback on applications, utilise computer-aided software engineering tools, AJAX, use automatic programming, COBOL, Swift (computer programming), JavaScript, Jenkins (tools for software configuration management)"
ICT application developer,"ML (computer programming), use concurrent programming, Apache Maven, STAF, Assembly (computer programming), TypeScript, ASP.NET, Eclipse (integrated development environment software), SAS language, Salt (tools for software configuration management), identify customer requirements, software frameworks, adapt to changes in technological development plans, interpret technical texts, analyse software specifications, C#, Groovy, Ruby (computer programming), WordPress, use object-oriented programming, migrate existing data, hybrid model, Visual Basic, World Wide Web Consortium standards, Perl, do cloud refactoring, software anomalies, debug software, Prolog (computer programming), Scala, integrated development environment software, develop automated migration methods, Objective-C, Haskell, Python (computer programming), MATLAB, use software libraries, Microsoft Visual C++, JavaScript Framework, create flowchart diagram, Ansible, Scratch (computer programming), develop food scanner devices, computer programming, Open source model, use an application-specific interface, ABAP, use query languages, APL, PHP, Xcode, ICT debugging tools, SAP R3, SQL, Common Lisp, propose ICT solutions to business problems, use software design patterns, use functional programming, integrate system components, KDevelop, tools for software configuration management, ICT security legislation, develop creative ideas, R, Pascal (computer programming), C++, manage business knowledge, use logic programming, Puppet (tools for software configuration management), VBScript, develop software prototype, OpenEdge Advanced Business Language, NoSQL, Lisp, Java (computer programming), Ajax Framework, design user interface, collect customer feedback on applications, object-oriented modelling, IBM WebSphere, utilise computer-aided software engineering tools, Outsourcing model, AJAX, use automatic programming, COBOL, Internet of Things, Drupal, Swift (computer programming), SPARK, JavaScript, Jenkins (tools for software configuration management)"
